calisma_sekli,departman,egitim,genel_nit_is_tanimi,ilan_baslik,label,sehir,sektor,sirket_adi,tecrube
,,,"Yetkinlikler,Üniversitelerin önlisans ve lisans derecesinden mezun (Tercihen Bilgisayar Programcılığı, Bilgisayar Teknolojisi ve benzer bölümlerden mezun,),Alanında 3 yıllık deneyime sahip,Sunum becerileri gelişmiş,Erkek adaylar için askerlikle ilişiği olmayan veya en az 2 yıl tecilli,Müşteri ilişkileri konusunda deneyimli,İş Tanımı,Kullanıcıların ihtiyaçlarına uzaktan veya yerinde destek vermek ,Destek dokümantasyonu oluşturmak, ,Destek sitesinde yer alan bilgileri günce tutmak ,Tekrar eden sorunların erken safhada çözülmesini sağlamak ,Kurulum yapmak ,Yazılımların Test Süreçlerine Katılmak, ,Test senaryoları ve test verileri oluşturmak, testleri yapmak, Otomatik test Ortamı testlerini çalıştırmak ,Otomatik ve manuel testleri gerçekleştirerek sonuçları analiz etmek, ,Hata kaynaklarını tespit etmek,Karşılaştırmalı performans testleri yapmak ve raporlamak ,Hata durumlarını JIRA aracılığı ile ilgili birime iletmek ,Çözülen hataların kontrolünü yaparak Jira taleplerini kapatmak, Gerektiğinde Satış Ekibi İle,Ziyaretlere katılmak ,Sunumlara katılmak ,Örnek Proje hazırlamak",Yazılım Destek Uzmanı,banka_sigorta,,,DECE YAZILIM A.Ş.,
,,,"
,Asp.net ile yazılım geliştirme süreçlerinde (analiz, tasarım, yazılım geliştirme ve bakım) en az 3 yıl profesyonel iş deneyimine sahip,,Tercihen turizm teknolojileri ve uçak bileti rezervasyon sistemleri konusunda bilgi sahibi,,WCF ve MVC teknolojilerini kullanmış, ,T-SQL'i ileri derecede kullanabilen, ,Object Oriented Programming konusuna hakim, Design Pattern'leri incelemiş ve uygulamış,,SOAP, Rest, Curl konularında deneyimli, ,SVN ve GIT hakkında bilgi sahibi, ,Agile proje yönetim metodolojisiyle çalışmış, ,HTML5, XHTML, CSS3, XSLT, XML, Javascript /jQuery /Angular/ WebAPI, AJAX teknolojilerini bilen,,Takım oyuncusu, hızlı aksiyon alabilen ve iletişimi kuvvetli, ,Teknik döküman takip edebilecek kadar İngilizce dil bilgisine sahip, ,Erkek adaylar için askerliğini tamamlamış ya da en az 1 yıl tecili bulunan. ,İŞ TANIMI,
,Yazılım geliştirme projelerinde analiz ve planlama çalışmalarında yer almak, ,Mimari tasarım ve proje planlarına uygun olarak uygulamaları geliştirmek, ,Veri tabanı tasarımı çalışmalarında bulunmak, ,Geliştirilen uygulamaların testlerini gerçekleştirmek, ,Performans ve güvenlik gibi alanlarda yapılabilecek iyileştirmeleri uygulamak,,Yeni uygulamaların mevcut yazılımlar ile entegrasyonunu sağlamak, ,Yayına alınma süreçlerinde yer almak, dökümante etmek, bakım ve desteklerini sağlamak",Kıdemli ASP.Net Yazılım Uzmanı,banka_sigorta,,,tatil.com,
,,,"CMC Turkey hakkında: , 2000 yılında kurulan, Türkiye’nin en büyük dış kaynak sağlayıcı şirketlerinden ve Mid Europa Partners yatırımlarından biri olan CMC Turkey, İstanbul, Malatya, Şanlıurfa, Rize, Bayburt ve Van olmak üzere toplamda altı ayrı lokasyonda hizmet veriyor. Kendi sektöründe lider yüzün üzerinde iş ortağına müşteri kazanımı, müşteri elde tutma, çapraz satış ile karlı müşteri yönetimi, süreç danışmanlığı gibi hizmetler sunan CMC Turkey; başta tele-satış, tele-pazarlama, müşteri hizmetleri, tahsilat yönetimi, teknik destek, back office yönetimi, sosyal medya olmak üzere, müşterilerinin ihtiyaçlarına özel, teknoloji destekli çözümler oluşturuyor. Yerinde Ar-Ge Teşviği de alan bilgi teknoloji ekipleri her yıl CMC Arge Merkezi’nde iş ortaklarının ihtiyaçlarını adresleyen geliştirmelere ve ürünlere imza atıyor. Türkçe, İngilizce, Almanca ve Arapça başta olmak üzere birçok dilde hizmet verebilen, beş binin üzerindeki CMC çalışanı, iş ortaklarının başarısı için çalışıyor. ,Üniversitelerin Mühendislik bölümlerinden tercihen Bilgisayar Mühendisliği, Yazılım Mühendisliği, Bilgisayar Programcılığı bölümlerinden mezun,,.Net teknolojileri ile yazılım geliştirmiş. C#, ASP.Net, MVC, Web API, WCF, SignalR, Web Application konularında en az 3 yıl tecrübeli,,Entity Framework, LinqToSql  gibi ORM lere hakim,,Çok katmanlı mimariler üzerinde çalışmış,,MS SQL üzerinde karmaşık sorguları anlayabilen, yazabilen,,HTML5, CSS3, Bootstrap, Javascript ile projeler geliştirmiş,,Tercihen Dependecy Injection, Singleton, UnitOfWork patternlerini kullanarak proje geliştirmiş,,jQuery, Angular gibi javascript kütüphanelerine hakim,,Takım Çalışmasına yatkın, iletişimi kuvvetli ve çözüm odaklı,,Erkek adaylar için askerliğini yapmış ya da 2 yıl tecilli,İşini seven, sahiplenen, pozitif takım arkadaşları arıyoruz.,İşin Tanımı,Tüm sirket içi yazılımların gelistirilmesinde rol almak, ,Mevcut ve potansiyel projelerde ihtiyaç duyulan yazılımların gelistirilmesini saglamak,,Sirket stratejilerini benimsemek ve bu yönde gerekli çalısmaların yapılmasında aktif rol oynamak,,Diger birimler ile koordineli olarak gelistirilmis olan uygulamaların devreye alınmasını saglamak,,Teknolojiyi en etkin sekilde kullanarak şirketin maliyetlerini azaltmak, ,Operasyonla ilgili çıkabilecek sorunlara yönelik önlem almak ve çıkan sorunların giderilmesini saglamak.",Yazılım Uzmanı,banka_sigorta,,,CMC | Customer Management Center,
,,,"Üniversitelerin Bilgisayar, Yazılım, Elektronik, Endüstri, Matematik Mühendisliği bölümlerinde okuyan veya yazılım geliştirme konusunda kendini yetiştirmiş, tercihen 3. veya 4. sınıf öğrencisi, ,Tercihen Okul döneminde part-time olarak çalışabilecek veya mezun olunca işe başlama hedefi olan, ,Tercihen OOP, Design Patterns, TDD, Unit Testing, kod ve yazılım standartları konularında genel  bilgi sahibi veya kısa zamanda yazılım geliştirme konusunda kendisini geliştirebilecek,SQL veritabanı konusunda bilgi sahibi, ,İyi derecede İngilizce teknik döküman okuma bilgisine sahip, ,Literatürü takip eden, araştırma yönü kuvvetli ve problem çözme becerisi olan,,Kendini geliştirme konusunda hevesli ve istekli. ,İŞ TANIMI",Java Yazılım Stajyeri,banka_sigorta,,,Finartz Bilgi Teknolojileri A.Ş.,
,,,"Türk internet kullanıcılarının en çok tercih ettiği ,""Dijital İçerik Platformu"",olarak 1999 yılından bugüne liderliğimizi koruyoruz. Kendi alanında sayısız ilki gerçekleştiren öncü internet devi olarak Türkiye'nin dijital ekosisteminin kalkınmasına ve gelişmesine destek olmayı sürdürüyoruz.,Her ay 45 milyonu aşkın internet kullanıcısına erişiyoruz ve sosyal ağlardaki toplam kitlemiz ise 10 milyonu geçmiştir. Ziyaretçilerimize her ay 100 milyondan fazla video izletiyoruz.,Köklü ve zengin içerik yelpazesiyle haberden lifestyle videolara, eğlenceden eğitime güncel ve etkili içerikler hazırlıyoruz. Türkiye’nin en büyük oyun topluluklarına ev sahipliği yapıyoruz ve fark yaratan içerik ve uygulamalarıyla kullanıcılarımızın her ihtiyacı için birinci adres olarak konumlanıyoruz.,Global projeler ile yeni başarılara imza atacak olan ekibimizin ,Medya & Yazılım, takımında, yazılım geliştirmeleri ve bakım çalışmalarından sorumlu olmak üzere aşağıdaki niteliklere sahip,""Back-End Developer"", arayışı içerisindeyiz.,Üniversitelerin ilgili bölümlerinden mezun,,PHP Laravel framework ve ilgili konulara tam hakim (cache, blade, eloquent),PHP ile modern yazılım geliştirme süreçlerini takip eden ve uygulayan,,GIT versiyonlama teknolojisinde deneyimli,,Kod performansı için gereken araçlara hakim,,Statik kod analizi araçlarını kullanan,,HTML, CSS, Javascript gibi web teknolojilerine hakim,,Linux / Mac geliştirme ortamında çalışabilen,,Teknik doküman okuyabilecek derecede İngilizce bilen,,Yüksek trafik gerektiren servis deneyimi olan,,Unit, Functional testing konularına hakim,,Sözlü ve yazılı iletişimi güçlü, iyi derecede problem çözme ve analiz yapabilme yeteneklerine sahip,,Agile prensiplerini bilen ve uygulayan, scrum framework konusunda bilgili ve mümkünse önceki çalışmalarında tecrübe etmiş,,Daima en iyi kod kalitesini hedefleyen,,Sürekli öğrenim ve gelişimi benimsemiş.",Back-End Developer (Mynet Medya) ,banka_sigorta,,,Mynet,
Sürekli / Tam zamanlı,Bilgi İşlem,,"İnfonal, yazılım yaşam döngüsünde uzmanlık gerektiren roller için teknoloji hizmetleri sağlayan IT danışmanlık şirketidir. Sektörel olarak bankacılık, e-ticaret ve ödeme sistemleri alanında en üst seviyede IT danışmanlık hizmeti sağlamaktadır., ,Sektör tecrübesi ile Finartz; müşteriye özel ihtiyaçları karşılamak için sunmuş olduğu çözümler ile rekabetçi bir avantaj sağlamaktadır. Yaklaşımımız; sektör standartlarına ve metodolojilerine uygun, müşteriye özel, benzersiz yazılımlar tasarlayıp, geliştirmektir., ,Şirketimiz bünyesinde görevlendirilmek üzere;,Üniversitelerin Bilgisayar, Yazılım, Elektronik, Endüstri, Matematik Mühendisliği bölümlerinde okuyan, yazılım geliştirme konusunda kendini yetiştirmiş, son sınıf öğrencisi, ,Anadolu Yakasında ikamet eden veya çalışma olanağı bulunan, ,Tercihen Okul döneminde part-time olarak çalışabilecek veya mezun olunca işe başlama hedefi olan, ,Tercihen OOP, Design Patterns, TDD, Unit Testing, kod ve yazılım standartları konularında genel bilgi sahibi veya kısa zamanda yazılım geliştirme konusunda kendisini geliştirebilecek,,Java, J2ee, Oracle, Spring, Hibernate ve benzeri teknolojilerde bilgi sahibi veya bu teknolojileri öğrenmeye açık,,SQL veritabanı konusunda bilgi sahibi, ,İyi derecede İngilizce teknik döküman okuma bilgisine sahip, , Literatürü takip eden, araştırma yönü kuvvetli ve problem çözme becerisi olan,,Kendini geliştirme konusunda hevesli ve istekli. , ,İŞ TANIMI",Yeni Mezun Java Developer,banka_sigorta,İstanbul(Asya),Bilişim,Infonal Bilgi Teknolojileri A.Ş.,En çok 10 yıl tecrübeli adaylar
,,,"Üniversitelerin ilgili bölümlerinden mezun, ,Ara yüz yazılım geliştirme konusunda en az 3 yıl deneyimli, ,İleri seviyede İngilizce bilen ,Web projelerinin belirlenen akış ve arayüz tasarımına uygun HTML, CSS ve JS kodlama işlerini yürütecek,,Versiyon kontrol sistemlerinin en az birinde çalışmış (GIT,GitLab,TFS,SVN vb.),,HTML5, CSS3, Javascript, Jquery, Bootstrap, AngularJS vb. kütüphane ve teknolojilerinde iyi derecede bilgi ve deneyim sahibi olan,,Responsive uygulamalar konusunda tecrübeli, ,Teknik dokümantasyon sürecini takip edebilecek, ,Ekip çalışmasına uyumlu ve yoğun çalışma temposuna ayak uydurabilecek, ,Sorumluluk sahibi ve iş takibi kuvvetli, ,Erkek adaylar için askerlik hizmetini tamamlamış veya en az 2 yıl tecilli adaylar aranmaktadır.,İŞ TANIMI,.NET platformunda geliştirilecek olan e-ticaret projelerinin verilen arayüzlerin geliştirilmesinde aktif görev almak.",Yazılım Geliştirme Uzmanı (Frontend),banka_sigorta,,,TURKUVAZ MEDYA GRUBU,
,,,"
,Üniversitelerin ilgili bölümlerinden mezun,,
,Profesyonel olarak en az 2 yıl yazılım geliştirme konusunda deneyim sahibi,,
,.NET platformunda tecrübeli ve tercihen web tabanlı uygulamalar konusunda (C# MVC, JavaScript, JQuery, HTML/HTML5 veya WPF MVVM kullanarak/kullanmış) proje deneyimine sahip,,
,Object Oriented Programming konusuna hakim ve yazılım tasarım desenleri hakkında bilgi sahibi (Design Patterns, Repository, IoC , Singleton vb.),,
,WCF, JSON, XML Web servisleri / SOAP veya REST API hakkında bilgi sahibi ve tercihen proje deneyimi olan,,
,Tercihen Mobile uygulama geliştirme konusunda (Xamarin, Android Studio veya IOS Xcode kullanarak) bilgi sahibi,,
,Herhangi bir ilişkisel veri tabanı ile çalışmış, tercihen orta düzeyde prosedür ve fonksiyon yazabilen ve performans iyileştirmeleri yapabilen,,
,Herhangi bir ORM tool kullanabilen (tercihen Entity Framework),,
,Çok katmalı mimari konusunda bilgi sahibi,,
,Dokümantasyon ve raporlama disiplini olan,,
,Çözüm odaklı olan,,
,Takım çalışmasına yatkın,,
,Literatürü takip edecek düzeyde İngilizce bilgisi,,
,Erkek adaylar için askerlik hizmetini tamamlamış.,
,İZMİR  bölgesinden adaylar  başvuruda bulunabilir.,
,
,İŞ TANIMI,
,Çalışma yeri Baylan AR-GE merkezi, Çiğli- AOSB fabrikamızdır,,
,Yazılım altyapısının uygulamaların gereksinimlerine uygun olarak tasarlanması,
,Uygulamanın geliştirilmesi,
,Birim ve entegrasyon testlerinin yazılması,
,Uygulama geliştirme tarafındaki fonksiyonalite testlerinin yapılması,
,Geliştirilen uygulamaların optimizasyonu ve bakımı (versiyon güncellemeleri, code coverage arttırılması, kod kalitesinin arttırılması, vb.),
",Yazılım Mühendisi,banka_sigorta,,,Baylan Ölçü Aletleri (AOSB /ÇİĞLİ),
,,,"At KO, we work every day to create language products that boostquality of life for people. 
,Our team moves extremely fast, solving unusual and challenging problems and acts user-oriented while designing anything new. We love to work in a smart, hands-on way, and we care about having a solid foundation in math, data structures, algorithms and software design. we also possess keen judgement in selecting technologies and building the right solution for the interesting challenges we get to tackle in our business., As a key contributor to this team, you will design and develop secure and scalable systems that deliver key business data to ad servers and big data pipelines. , You will build and maintain interfaces used by both internal systems and thousands of our users worldwide. If you are ambitious, have excellent design instincts, and enjoy working cross-functionally, if you have an interest in developing solutions for consumer-facing products, strong technical ability, excellent organizational skills,,Minimum Requirements:, - Very good knowledge of ASP.Net & ASP.Net Core technologies & C# language ,
, - Very good familiarity with MVC, OOP & Design patterns , - Very good knowledge of UML and UML diagrams , - Very good familiarity with No-SQL & SQL databases , - Very good familiarity with Test frameworks like NUnit , - Very good familiarity with Linux based systems, - Very good familiarity with agile development , -Very good knowledge of English language (Reading & Writing), - Ability to solve problems and act as a collaborative team member , - Minimum of 5 years experience in the software development ",Senior Software Developer,banka_sigorta,,,Renkli Fikirler Bilişim Ve Eğitim Teknolojileri ,
,,,"Üniversitelerin ilgili bölümlerinden mezun, ,.NET(ASP.NET, MVC) platformunda en az 3 yıl C# Web uygulama geliştirmiş, ,E-ticaret projelerinde yer almış, tercihen Nop Commerce konusunda deneyimli olan,,Versiyon kontrol sistemlerinin en az birinde çalışmış (GIT,GitLab,TFS,SVN vb.),,Web servis tecrübesi bulunan (RESTful API ,JSON, XML, XSD, XSLT, SOAP), ,HTML ve Javascipt konularına hakim, ,Tercihen Angular, NodeJS konularında deneyimli, ,Elastic Search ya da Solr konusunda tercihen deneyim sahibi, ,Teknik dokümantasyonu takip edebilecek seviyede İngilizce bilen, ,Ekip çalışmasına uyumlu ve yoğun çalışma temposuna ayak uydurabilecek, ,Sorumluluk sahibi ve iş takibi kuvvetli, ,Erkek adaylar için askerlik hizmetini tamamlamış veya en az 2 yıl tecilli adaylar aranmaktadır.,İŞ TANIMI,.NET platformunda geliştirilecek olan e-ticaret projelerinde modüllerin geliştirilme sürecinde görev almak,,3.parti uygulamalarla entegrasyonları geliştirmek, ,Projeler kapsamında yürütülecek analiz, tasarım, kodlama ve optimizasyon çalışmalarında görev almak,,Geliştirdiği uygulama bileşenleri için birim testlerini oluşturmak ve çalıştırmak.",Yazılım Geliştirme Uzmanı (Backend),banka_sigorta,,,TURKUVAZ MEDYA GRUBU,
,,,"Finansal Teknolojiler sektöründe faaliyet gösteren şirketimizin Bilgi Teknolojileri Departmanı, Yazılım Biriminde görev yapmak üzere ,Front End Developer, aranmaktadır. Adayların sahip olması beklenen genel nitelikler aşağıdadır.,Başta Vue olmak üzere React ya da Angular gibi Javascript kütüphaneleriyle uygulama geliştirebilme,Webpack / Gulp gibi derleme araçları ve Yarn / Npm gibi paket yöneticilerine aşinalık,CSS Preprocessor'leri kullanabilen (Sass / LESS) “Cross-Browser Compatibility” ve “Mobile First Design” kavramlarını içselleştirmiş olma,Araştırma ve analiz yaparak sonuçlandırabilecek düzeyde teknik (mesleki) İngilizce bilgisi,Sahip olduğu özellikleri bitirdiği profesyonel projelerle kanıtlayabilecek tecrübe,Not:, Adobe Illustrator veya Sketch kullanabilmek, Electron.js, GIT/SVN ve Docker bilgisine sahip olmak aynı özelliklere sahip adaylar arasında fark yaratacaktır.  ,Adaydan Beklenecek Bazı Temel Sorumluluk ve Görevler:,Vue JS ve CSS3 ile modüler ve kolay okunabilir kod yazmak, ihtiyaç ve modellemeleri tam çalışan bir arayüze dönüştürmek,Projeler dâhilinde profesyonel Back End Developer ekipleriyle ile koordineli şekilde çalışmak,Proje takvimini takip etmek, proje dokümantasyonu ve düzenli durum raporları ile proje süreçlerini yürütmek,Yazılım biriminin kullandığı teknolojilerin ve kod üretim kalitesinin sürdürülebilir gelişimine katkıda bulunmak  ",Front End Developer,banka_sigorta,,,Paribu Teknoloji A.Ş.,
,,,"GENEL NİTELİKLER ,Üniversitelerin Bilgisayar Mühendisliği, Yazılım Mühendisliği, Bilgisayar Programcılığı bölümlerinden mezun,,CMMI veya SPICE süreçlerini uygulamış olan ve bu konularda bilgi ve deneyim sahibi, , İyi derecede İngilizce bilen,,Takım çalışmasına yatkın, ,Analitik düşünce kabiliyeti olan, yeniliklere açık., MESLEKİ NİTELİKLER ,J2EE uygulama geliştirme araçlarında (IntelliJ, Eclipse, SVN,CVS,... vb.) ile uygulama geliştirme konusunda deneyim sahibi, ,Java Programlama dilinde en az 2 yıl veya daha fazla çalışmış, ,JSF(Java Server Faces), PrimeFaces konularında tecrübeli ve uygulama geliştirmiş, ,Veri tabanı yönetim sistemlerinden tercihen Oracle konusunda tecrübeli, ,ORM araçlarından en az birinde tecrübeli, (Hibernate tercih sebebi),,Uzmanlık alanında en az 1 yazılım projesi veya modül bitirmiş.,İŞ TANIMI ,Üniversite Yönetim Sistemi (UYS) Projemizde çalışmak üzere Takım arkadaşları aramaktayız. ",YAZILIM UZMANI,banka_sigorta,,,AKGÜN BİLGİSAYAR PROG.VE HİZM.SAN.TİC.LTD.ŞTİ.,
,,,"
,
,
,·         Üniversitelerin ilgili lisans bölümlerinden mezun,,
·         Microsoft .Net teknolojileri konusunda minimum,
           3 yıl deneyim sahibi,,
·         ASP.NET, MVC, C# deneyimi olan,
·         Object Oriented Programming (OOP) mantığına hakim,,
·         Teknolojiyi takip edebilcek seviyede İngilizce dil bilgisi bulunan,,
·         Tecihen Agile/Scrum yazılım geliştirme metodolojilerini bilen,,
·         Sonuç odaklı ve ekip çalışmasına yatkın,,
·         Erkek adaylar için tercihen askerlikle ilgisi olmayan.,
,
,
, ,
,
,
",.NET DEVELOPER,banka_sigorta,,,Rdc Partner Bilişim Danışmanlık Ve Teknoloji Hizm.,
,,,"Danışmanlığını yürütmekte olduğumuz, eğitim sektöründe faaliyet gösteren müşterimizin, İstanbul Avcılar’daki Genel Merkezi’nde  görev yapmak üzere, “CRM Yazılım Uzmanı ”, arayışımız bulunmaktadır.,Üniversitelerin Bilgisayar Mühendisliği bölümlerinden mezun,,Microsoft Dynamics CRM geliştirme konusunda 3 yıl ve üzeri tecrübeli,,Microsoft Dynamics CRM üzerinde Plugin, Workflow, Business Role, Business Flow, Dashboard geliştirmiş ,C#, CSS, Bootstrap, AJAX, javascript ile proje geliştirmiş, ,Entity Framework, Visual Studio 2017, TFS, XRM toolbox toollarına hakim,,Tercihen MCSA: Microsoft Dynamics 365 sertifikasına sahip, ,Windows Servisleri, Web Servisler (SOAP ve REST) konusunda tecrübeli, ,IIS kullanımı konusunda tecrübeli,,Nesneye dayalı tasarım ve katmanlı mimariye hakim,,İlişkisel veri tabanı MS SQL kullanmış, SQL/TSQL dillerinde query, stored procedure, job, view, trigger, function, keys, index geliştirmiş,,Agile/Scrum methodolojisi ile geliştirme yapmış (Scrum, sprint, backlog hakkında bilgi sahibi),,Takım çalışmasına uygun, analitik düşünce yapısına sahip, sorumluluk sahibi, proaktif ve sonuç odaklı yaklaşımla çalıştığı işleri baştan sona takip edebilecek,,Gerektiğinde yoğun iş temposuna uyum sağlayabilecek,,Erkek adaylar için askerliğini tamamlamış veya en az iki yıl tecilli,,İstanbul Avrupa yakasında ikamet eden. ",CRM Yazılım Uzmanı,banka_sigorta,,,Temas Arama Seçme Yerleştirme İnsan Kaynakları ,
Uzman,Sürekli / Tam zamanlı,"Üniversite(Mezun), Yüksek Lisans(Öğrenci), Yüksek Lisans(Mezun), Doktora(Öğrenci)","E-Ticaret konusunda 20 yıllık deneyime sahip şirketimiz yazılım ekibinde, Türkiye'nin tanınmış perakende firmalarının E-Ticaret projelerinde görevlendirilecek, Java programlama konusunda;,En az 2 yıl deneyimli,  Java Developer takım arkadaşları arıyoruz.,Deneyim Beklentisi:,- Java, J2EE, Spring MVC yapılarında deneyimli,,- SQL, Hibernate, JPA, ORM  kullanımında deneyimli,,- HTML, CSS, Javascript, JQuery kullanımında deneyimli,,- Web Servisleri konusunda deneyimli (SOAP, REST),,- Versiyon kontrol sistemi kullanımında deneyimli (Git, SVN),,- İyi derecede Teknik İngilizce bilgisine sahip.,Pozitif iletişimi tercih eden, kendini geliştirme isteği ve motivasyonu olan, araştırmacı, hızlı öğrenebilen, meraklı, pratik, çözüm üreten, sorumluluk alabilen biri olarak kendinizi tanımlıyorsanız, sizinle tanışmayı çok isteriz!,Görevlendirme:,Java altyapısı kullanan, yüksek trafikli Online Alışveriş projelerimizde, kod ve özel modül geliştirme, entegrasyon çalışmaları olacaktır.,MNM Teknoloji A.Ş.,2000 yılından bugüne müşterilerine online alışveriş sistemleri konusunda etkin çözümler sunmaktadır. Online alışveriş projelerinde 20 yılın üzerindeki deneyimi ile, müşterilerinin tasarım ve teknik alandaki tüm ihtiyaçlarına etkin çözümler üreterek, gerçekleştirdiği projelerin kısa zamanda başarılı sonuçlar almasını sağlamaktadır.",Java Yazılım Uzmanı,banka_sigorta,,"Bilişim, İnternet, Yazılım, Mühendislik Hizmetleri , E-ticaret",MNM Teknoloji A.Ş,En az 2 yıl tecrübeli adaylar
,,,"Bankamızda görevlendirilmek üzere;,Üniversitelerin Bilgisayar Mühendisliği, Endüstri Mühendisliği veya Elektrik ve Elektronik Mühendisliği bölümlerinden mezun, ,Bankaların ya da bağımsız denetim kuruluşlarının bilgi sistemleri kontrol veya denetiminde 5 yıl deneyimli, ,COBIT, ISO27001, ITIL, ISO22301 VB. standartlar hakkında bilgi sahibi olan, ,İleri düzey yabancı dil bilgisine sahip,,İşletim sistemi, veri tabanları, temel güvenlik yönetimi (firewall/ waf), virüs programları hakkında bilgi sahibi, ,Tercihen CISA, CIA, CISM vb. sertifikalara sahip olan veya süreci devam etmekte olan,  ,'İç Kontrol Bilgi Sistemleri Müdür Yardımcısı' ,çalışma arkadaşı aramaktayız. ,(Not: İç Kontrol Müdürü ve Risk Yönetimi Komitesi'ne aylık olarak raporlama yapılır.),İŞİN TANIMI,Bankanın bilgi teknolojileri ile ilgili kontrol ve inceleme faaliyetlerinin gerçekleştirilmesi,,İkinci seviye kontrollerin tasarlanması ve gerçekleştirilmesi, ,Birinci seviye kontrollere ait eksiklik ve aksaklıkların tespiti, ,Aylık olarak ikinci seviye kontrol faaliyetleri ile ilgili raporlama yapılması, ,Risk Yönetimi Komiteleri katılım sağlanması, ,Yönetim beyanı çalışmalarında testlerin gerçekleştirilmesi, ,Dış denetçiler ile koordinasyon faaliyetlerinin gerçekleştirilmesi.",İç Kontrol Bilgi Sistemleri Müdür Yardımcısı,banka_sigorta,,,PASHA Yatırım Bankası A.Ş.,
,,,"Türkiye’nin dört bir yanına ve dünyanın 227 ülkesine ‘önem’ taşıyan Aras Kargo, 40 yıldır müşterilerine, paydaşlarına ve ülke ekonomisine katma değer sağlamak için çalışıyor. Mutluluğa adanmış gücüyle ve hizmetleriyle fark yaratan Aras Kargo, teknoloji ve güçlü insan kaynağını birleştiren yenilikçi iş modeliyle, sektöründe ilk tercih edilen marka olmak için çalışmalarını sürdürüyor. Kargo sektörünün lideri Aras Kargo bugün, müşteri memnuniyeti odaklı 13 Bölge Müdürlüğü, 29 Transfer Merkezi, 825 şube, 4000'den fazla araç filosu ve 12000 kişilik uzman kadrosuyla; her ay 12 milyon kişi, kurum ve kuruluşa hizmet veriyor.,Sen de bu geniş aileye katılmak istiyorsan, Genel Müdürlük ,Yazılım Geliştirme Uzmanı, pozisyonuna başvurunu bekliyoruz.,
,Üniversitelerin ilgili bölümlerinden mezun,Benzer pozisyonda 1- 3 yıl tecrübeli,C# , Web ve Windows yazılımlarına hakim,Web servislerini kurgulama ve yazmada tecrübeli,Sql ve PLSql konusunda tecrübe sahibi ve TFS kullanmayı bilen,Trigger,Job gibi veri tabanı süreçlerini oluşturmada ve geliştirmede tecrübeli,Analitik düşünme ve raporlama becerileri gelişmiş,İyi derecede yazılı ve sözlü İngilizce bilgisine sahip olan,Erkek adaylar için askerlik hizmetini tamamlamış,İŞ TANIMI,
,Yazılımda ihtiyaç duyulan tasarım dokümanlarını hazırlamak , uygulamak ve geliştirmek,Yazılımla ilgili tespit edilen kullanıcı ve sistem ihtiyaçlarını dokümante etmek,Mevcutta devam eden süreçleri iyileştirme amaçlı incelemek ve gerektiğinde otomatize etmek,Uygulama için gerekli kodları yazmak veya düzeltmek,Süreçteki işleyişinden sorumlu olduğu yazılımları test etmek ve gerekli düzenlemeleri yapmak,Yazılımla ilgili eğitim dokümanlarının hazırlanmasına katkı sağlamak,Veri tabanı konusunda sorguları performans kriterlerini de göz önünde bulundurarak hazırlamak.",Yazılım Geliştirme Uzmanı,banka_sigorta,,,Aras Kargo,
,,,"Türkiye’nin dört bir yanına ve dünyanın 227 ülkesine ‘önem’ taşıyan Aras Kargo, 40 yıldır müşterilerine, paydaşlarına ve ülke ekonomisine katma değer sağlamak için çalışıyor. Mutluluğa adanmış gücüyle ve hizmetleriyle fark yaratan Aras Kargo, teknoloji ve güçlü insan kaynağını birleştiren yenilikçi iş modeliyle, sektöründe ilk tercih edilen marka olmak için çalışmalarını sürdürüyor. Kargo sektörünün lideri Aras Kargo bugün, müşteri memnuniyeti odaklı 13 Bölge Müdürlüğü, 29 Transfer Merkezi, 825 şube, 4000'den fazla araç filosu ve 12000 kişilik uzman kadrosuyla; her ay 12 milyon kişi, kurum ve kuruluşa hizmet veriyor.,Sen de bu geniş aileye katılmak istiyorsan, Genel Müdürlük ,Yazılım Geliştirme Kıdemli Uzmanı, pozisyonuna başvurunu bekliyoruz.,
,Üniversitelerin ilgili bölümlerinden mezun,Benzer pozisyonda en az 5 yıl tecrübeli,C# , Web ve Windows yazılımlarına hakim,Web servislerini kurma ve yazmada tecrübeli,Sql ve PLSql konusunda tecrübe sahibi ve TFS kullanmayı bilen,Trigger, Job gibi veri tabanı süreçlerini oluşturmada ve geliştirmede tecrübeli,Analitik düşünme ve raporlama becerileri gelişmiş,İyi derecede yazılı ve sözlü İngilizce bilgisine sahip olan,Erkek adaylar için askerlik hizmetini tamamlamış,,İŞ TANIMI,
,Yazılımda ihtiyaç duyulan tasarım dokümanlarını hazırlamak, uygulamak ve geliştirmek,Yazılımla ilgili tespit edilen kullanıcı ve sistem ihtiyaçlarını dokümante etmek,Mevcutta devam eden süreçleri iyileştirme amaçlı incelemek ve gerektiğinde otomatize etmek,Uygulama için gerekli kodları yazmak veya düzeltmek,Süreçteki işleyişinden sorumlu olduğu yazılımları test etmek ve gerekli düzenlemeleri yapmak,Yazılımla ilgili eğitim dokümanlarının hazırlanmasına katkı sağlamak ve son kullanıcılara eğitim verecek olan eğiticilere konuyla ilgili eğitim vermek,Veri tabanı konusunda sorguları performans kriterlerini de göz önünde bulundurarak hazırlamak.",Yazılım Geliştirme Kıdemli Uzmanı,banka_sigorta,,,Aras Kargo,
